id,event_id,committee_id,description,action_text,public_doc_url,doc_url,,issue_id,roll_call,motion,vote,notes
1,21,3,City’s 2013 Consolidated Annual Performance and Evaluation Report (CAPER): Authorize submittal of CAPER to the U.S. Department of Housing and Urban Development.,Adopted,,,,,,,,
2,21,3,"Land Sale (5227 Girard Ave N): Passage of Resolution authorizing sale of property to TimberCraft Enterprises, Inc. for $5,000, subject to conditions; If TimberCraft Enterprises, Inc. fails to close, approve the sale of property to Kevis ",Adopted,,,,,,,,
3,21,3,"Cocktail Rooms Licensing Ordinance:
Passage of Ordinances amending Title 14 of the Minneapolis Code of Ordinances relating to Liquor and Beer, allowing micro distilleries to obtain on sale liquor licenses to sell and serve distilled spirits on the licensed premises:
a)   Chapter 360 relating to In General;
b)   Chapter 362 relating to Liquor Licenses.",Adopted,,,,,,,,
4,21,3,"Liquor, Business & Gambling License Applications:
Approve Department of Licenses & Consumer Services agenda recommendations for Liquor, Business & Gambling licenses.
Early signing by Mayor requested.",Adopted,,,,,,,,
5,21,3,"Naughty Neals Treats:
Passage of Resolution approving Business License Operating Conditions relating to Mobile Food Vehicle Vendor License.",Adopted,,,,,,,,
6,21,3,"Marshall River Run (1448 Marshall St NE):
Authorize amendment and re-subordination of its Affordable Housing Trust Fund loan, extending maturity date, amending interest rate, and securing a 25% share of annual General Partner cash distributions to accommodate a HUD-insured 1st mortgage refinance and consent to assignment of the previously issued TIF Note.",Adopted,,,,,,,,
7,21,3,"Children’s Health Care, d/b/a Children’s Hospitals and Clinics of Minnesota:
Passage of Resolution giving final approval to the issuance of up to $56,000,000 in 501(c)(3) Tax-exempt Refunding Revenue Bonds to refund a portion of the Series 2004A Bonds and all of the Series 2004B Bonds as a joint issue by the City of Minneapolis and the St. Paul Housing and Redevelopment Authority; Authorize execution of a new Joint Powers Agreement with the St. Paul Housing and Redevelopment Authority.",Adopted,,,,,,,,
8,21,3,"Greater Metropolitan Housing Corporation Lending Contract:
Approve the modified compensation proposed by Greater Metropolitan Housing Corporation for City of Minneapolis mortgage assistance and home improvement program lending services.",Adopted,,,,,,,,
9,21,3,"2014 Emergency Solutions Grant (ESG) Funding:
Approve up to $408,377 of Fiscal Year 2014 ESG funds for the following capital projects: a) Up to $227,377 for Harbor Light Center; b) Up to $181,000 for Our Saviour’s Outreach Ministries.",Adopted,,,,,,,,
10,21,3,"Construction Management Agreement Ordinance:
Passage of Ordinance amending Title 5, Chapter 87 of the Minneapolis Code of Ordinances relating to Building Code: Administration and Enforcement, adding a new Article IV related to the codification of certain provisions of the Construction Management Agreement required for the wrecking, demolition, and new construction of single-family and two-family dwellings; Return to author ordinances amending Chapter 93 relating to Building Code: Safety Precautions: Protection of Public Property; and Chapter 117 relating to Building Code: Wrecking.",Adopted,,,,,,,,
