id,committee_id,council_member_id,chair,vice_chair,
1,1,7,TRUE,,Lisa Goodman (chair); John Quincy (vice-chair); Kevin Reich; Cam Gordon; Barbara Johnson; Elizabeth Glidden
2,1,11,,TRUE,
3,1,1,,,
4,1,2,,,
5,1,4,,,
6,1,8,,,
7,1,10,,,
8,2,8,TRUE,,Elizabeth Glidden (chair); Barbara Johnson (vice-chair); Kevin Reich; Cam Gordon; Jacob Frey; Blong Yang; Abdi Warsame; Lisa Goodman; Alondra Cano; Lisa Bender; John Quincy; Andrew Johnson; Linea Palmisano
9,2,4,,TRUE,
10,2,1,,,
11,2,2,,,
12,2,3,,,
13,2,5,,,
14,2,6,,,
15,2,7,,,
16,2,9,,,
17,2,11,,,
18,2,12,,,
19,2,13,,,
20,3,7,TRUE,,Lisa Goodman (chair); Jacob Frey (vice-chair); Kevin Reich; Abdi Warsame; Alondra Cano; John Quincy
21,3,11,,,
22,3,6,,,
23,3,9,,,
24,4,3,TRUE,,Jacob Frey (chair); Kevin Reich; Cam Gordon; Barbara Johnson; Blong Yang; Abdi Warsame; Lisa Goodman; Elizabeth Glidden; Alondra Cano; Lisa Bender; John Quincy; Andrew Johnson; Linea Palmisano
25,4,2,,,
26,4,4,,,
27,4,5,,,
28,4,6,,,
29,4,7,,,
30,4,8,,,
31,4,9,,,
32,4,10,,,
33,4,11,,,
34,4,12,,,
35,4,13,,,
36,5,2,TRUE,,Cam Gordon (chair); Andrew Johnson (vice-chair); Jacob Frey; Elizabeth Glidden; Alondra Cano; Lisa Bender
37,5,12,,TRUE,
38,5,3,,,
39,5,7,,,
40,5,8,,,
41,5,9,,,
42,6,2,TRUE,,Cam Gordon (chair); Andrew Johnson (vice-chair); Jacob Frey; Elizabeth Glidden; Alondra Cano; Lisa Bender
43,6,12,,TRUE,
44,6,3,,,
45,6,7,,,
46,6,8,,,
47,6,9,,,
48,6,,,,
49,7,8,TRUE,,Members: Elizabeth Glidden (chair); Alondra Cano (vice-chair); Jacob Frey; Barbara Johnson; John Quincy; Andrew Johnson
50,7,9,,TRUE,
51,7,11,,,
52,7,4,,,
53,7,12,,,
54,8,5,TRUE,,Blong Yang (chair); Cam Gordon (vice-chair); Kevin Reich; Barbara Johnson; Abdi Warsame; Linea Palmisano
55,8,2,,TRUE,
56,8,1,,,
57,8,4,,,
58,8,6,,,
59,8,13,,,
60,9,6,TRUE,,Abdi Warsame (chair); Kevin Reich; Cam Gordon; Jacob Frey; Barbara Johnson; Blong Yang; Lisa Goodman; Elizabeth Glidden; Alondra Cano; Lisa Bender; John Quincy; Andrew Johnson; Linea Palmisano
61,9,1,,,
62,9,2,,,
63,9,3,,,
64,9,4,,,
65,9,5,,,
66,9,7,,,
67,9,8,,,
68,9,9,,,
69,9,10,,,
70,9,11,,,
71,9,12,,,
72,9,13,,,
73,10,2,TRUE,,Kevin Reich (chair); Linea Palmisano (vice-chair); Cam Gordon; Blong Yang; Elizabeth Glidden; Lisa Bender
74,10,13,,TRUE,
75,10,1,,,
76,10,5,,,
77,10,8,,,
78,10,10,,,
79,11,11,TRUE,,"John Quincy (chair); Elizabeth Glidden (vice-chair); Andrew Johnson, Blong Yang, Lisa Bender; Linea Palmisano"
80,11,8,,TRUE,
81,11,5,,,
82,11,10,,,
83,11,12,,,
84,11,13,,,
85,12,10,TRUE,,Lisa Bender (chair); Andrew Johnson (vice-chair); Kevin Reich; Barbara Johnson; Abdi Warsame; Lisa Goodman
86,12,12,,TRUE,
87,12,1,,,
88,12,4,,,
89,12,6,,,
90,12,7,,,
91,13,13,TRUE,,Linea Palmisano (chair); Alondra Cano; John Quincy
92,13,11,,,
93,13,9,,,
94,14,14,TRUE,,Mayor Betsy Hodges (chair); Barbara Johnson (vice-chair); Kevin Reich; Cam Gordon; Elizabeth Glidden
95,14,4,,TRUE,
96,14,1,,,
97,14,2,,,
98,14,8,,,
