id,name,type,info_url,code
1,Claims,Standing Committees,http://www.minneapolismn.gov/council/committees/claims,claim
2,Committee of the Whole (includes IT Policy Subcommittee),Standing Committees,http://www.minneapolismn.gov/council/committees/committee-of-the-whole,whole
3,Community Development & Regulatory Services,Standing Committees,http://www.minneapolismn.gov/council/committees/cdrs,reg
4,Elections & Rules,Standing Committees,http://www.minneapolismn.gov/council/committees/elections-rules,elections
5,"Health, Environment & Community Engagement",Standing Committees,http://www.minneapolismn.gov/council/committees/hece,health
6,Intergovernmental Relations,Standing Committees,http://www.minneapolismn.gov/council/committees/intergovernmental,intergov
7,"Public Safety, Civil Rights & Emergency Management",Standing Committees,http://www.minneapolismn.gov/council/committees/pscrem,safety
8,Taxes,Standing Committees,http://www.minneapolismn.gov/council/committees/taxes,taxes
9,Transportation & Public Works,Standing Committees,http://www.minneapolismn.gov/council/committees/transportation-and-public-works,transit
10,Ways & Means (includes Budget Subcommittee),Standing Committees,http://www.minneapolismn.gov/council/committees/ways-and-means,budget
11,Zoning & Planning,Standing Committees,http://www.minneapolismn.gov/council/committees/zoning-and-planning,zoning
12,Audit,Independent Committees,http://www.minneapolismn.gov/council/committees/audit,audit
13,Executive,Independent Committees,http://www.minneapolismn.gov/council/committees/executive,executive
14,City Council,Full Council,,city
