id,event_location,time,date,agenda_url,,archive_status,,committee,event_type
23,"Room 317, City Hall",1:30 PM,8/18/2014,http://www.minneapolismn.gov/meetings/hece/WCMS1P-129473,,Public,,"Health, Environment & Community Engagement",Regular Meeting
21,"Room 317, City Hall",1:30 PM,8/19/2014,http://www.minneapolismn.gov/meetings/cdrs/WCMS1P-118817,,Public,,Community Development & Regulatory Services,Regular Meeting
20,"Room 317, City Hall",4:30 PM,8/19/2014,http://www.minneapolismn.gov/meetings/hpc/WCMS1P-129509,,Public,,Heritage Preservation Commission,Regular Meeting
22,"Room 317, City Hall",9:30 AM,8/19/2014,http://www.minneapolismn.gov/meetings/tpw/WCMS1P-129623,,Public,,Transportation & Public Works,Regular Meeting
19,"Room 317, City Hall",6:00 PM,8/19/2014,http://www.minneapolismn.gov/meetings/tpw/WCMS1P-129641,,Public,,Transportation & Public Works,Regular Meeting
18,"Room 317, City Hall",1:30 PM,8/20/2014,http://www.minneapolismn.gov/meetings/pscrem/WCMS1P-129616,,Public,,"Public Safety, Civil Rights & Emergency Management",Regular Meeting
17,"Room 317, City Hall",9:30 AM,8/21/2014,http://www.minneapolismn.gov/meetings/zp/WCMS1P-129757,,Public,,Zoning & Planning Committee,Regular Meeting
16,"Room 317, City Hall",4:30 PM,8/21/2014,http://www.minneapolismn.gov/meetings/zba/WCMS1P-129581,,Public,,Zoning Board of Adjustment,Regular Meeting
14,"Room 317, City Hall",4:30 PM,8/25/2014,http://www.minneapolismn.gov/meetings/planning/WCMS1P-129864,,Public,,Planning Commission,Regular Meeting
15,"Room 317, City Hall",1:30 PM,8/25/2014,http://www.minneapolismn.gov/meetings/wm/WCMS1P-129805,,Public,,Ways & Means Committee,Regular Meeting
13,"Room 317, City Hall",9:30 AM,8/26/2014,http://www.minneapolismn.gov/meetings/audit/WCMS1P-130062,,Public,,Audit Committee,Regular Meeting
12,"Room 317, City Hall",6:00 PM,8/26/2014,http://www.minneapolismn.gov/meetings/PCOC-policy/WCMS1P-129799,,Public,,PCOC Policy and Procedure Subcommittee,Regular Meeting
11,"Room 317, City Hall",9:30 AM,8/27/2014,http://www.minneapolismn.gov/meetings/tpw/WCMS1P-130034,,Public,,Transportation & Public Works,Regular Meeting
10,"Room 317, City Hall",9:30 AM,8/29/2014,http://www.minneapolismn.gov/meetings/council/WCMS1P-129949,,Public,,City Council,Regular Meeting
9,"Room 317, City Hall",4:00 PM,9/3/2014,http://www.minneapolismn.gov/meetings/charter/WCMS1P-130074,,Public,,Charter Commission,Regular Meeting
8,"Room 317, City Hall",9:30 AM,9/8/2014,http://www.minneapolismn.gov/meetings/budgetsub/WCMS1P-130503,,Public,,Budget Subcommittee,Regular Meeting
7,"Room 317, City Hall",1:30 PM,9/8/2014,http://www.minneapolismn.gov/meetings/hece/WCMS1P-130128,,Public,,"Health, Environment & Community Engagement",Regular Meeting
5,"Room 317, City Hall",1:30 PM,9/9/2014,http://www.minneapolismn.gov/meetings/cdrs/WCMS1P-118818,,Public,,Community Development & Regulatory Services,Regular Meeting
4,"Room 212, City Hall",4:30 PM,9/9/2014,http://www.minneapolismn.gov/meetings/hpc/WCMS1P-130367,,Public,,Heritage Preservation Commission,Regular Meeting
3,"Room 241, City Hall",6:00 PM,9/9/2014,http://www.minneapolismn.gov/meetings/pcoc/WCMS1P-130357,,Public,,Police Conduct Oversight Commission,Regular Meeting
6,"Room 317, City Hall",9:30 AM,9/9/2014,http://www.minneapolismn.gov/meetings/tpw/WCMS1P-130264,,Public,,Transportation & Public Works,Regular Meeting
2,"Room 317, City Hall",1:30 PM,9/10/2014,http://www.minneapolismn.gov/meetings/pscrem/WCMS1P-130249,,Public,,"Public Safety, Civil Rights & Emergency Management",Regular Meeting
1,"Room 317, City Hall",4:30 PM,9/11/2014,http://www.minneapolismn.gov/meetings/zba/WCMS1P-130450,,Public,,Zoning Board of Adjustment,Regular Meeting
24,Room 317 City Hall,1:30 PM,9/15/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=9%2f15%2f14&view=monthly&eventid=30491,,Public,,Ways & Means Committee,Regular Meeting
25,Room 317 City Hall,1:15 PM,9/16/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=9%2f16%2f14&view=monthly&eventid=30792,,Public,,"Ways & Means, Budget Subcommittee",Regular Meeting
26,Room 317 City Hall,9:30 AM,9/18/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=9%2f18%2f14&view=monthly&eventid=30795,,Public,,"Ways & Means, Budget Subcommittee",Regular Meeting
27,Room 317 City Hall,1:30 PM,9/29/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=9%2f29%2f14&view=monthly&eventid=30492,,Public,,Ways & Means Committee,Regular Meeting
28,Room 317 City Hall,9:00 AM,10/2/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=10%2f2%2f14&view=monthly&eventid=30796,,Public,,"Ways & Means, Budget Subcommittee",Regular Meeting
29,Room 317 City Hall,10:00 AM,10/10/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=10%2f10%2f14&view=monthly&eventid=30798,,Public,,"Ways & Means, Budget Subcommittee",Regular Meeting
30,Room 317 City Hall,1:30:00 PM,10/14/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=10%2f14%2f14&view=monthly&eventid=30493,,Public,,Ways & Means Committee,Regular Meeting
31,Room 317 City Hall,9:30:00 AM,10/24/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=10%2f24%2f14&view=monthly&eventid=30808,,Public,,"Ways & Means, Budget Subcommittee",Regular Meeting
